"age","locfit","cu95","cl95","nsites","window","nsamples","Region"
-60,0.222285769674784,0.781461295757343,-0.328013893614379,11,10,24,"CEAS"
-50,-0.0557927256797387,0.219297727500272,-0.378087605268099,24,20,28,"CEAS"
-40,-0.189706855519057,0.145345572432767,-0.477961873067773,23,20,29,"CEAS"
-30,-0.231790683917159,0.0548084687543414,-0.498216370279993,24,20,26,"CEAS"
-20,-0.0439678966857666,0.291544148991644,-0.345455089888853,22,20,28,"CEAS"
-10,7.19675456230251e-05,0.317011943806523,-0.398705442160452,22,20,30,"CEAS"
0,-0.096247845670417,0.235651285354495,-0.45384267734515,29,20,34,"CEAS"
10,-0.0461216545582962,0.326734508376865,-0.377524794313858,27,20,38,"CEAS"
20,-0.0674268231716338,0.245263834550954,-0.358605174938907,29,20,36,"CEAS"
30,-0.303820215881359,0.0174685076445277,-0.682339856141404,27,20,37,"CEAS"
40,-0.324377853836241,0.0177408769960881,-0.677011687133346,25,20,34,"CEAS"
50,-0.184641814157742,0.222400008937014,-0.543182752168985,23,20,33,"CEAS"
60,0.111297253037759,0.466421723960022,-0.26354464574785,27,20,34,"CEAS"
70,-0.00275790479896999,0.305420386770417,-0.335359987060035,27,20,36,"CEAS"
80,-0.106850795952302,0.248027596447245,-0.43362076674099,25,20,39,"CEAS"
90,-0.107617565799732,0.168895302550341,-0.407915971800844,27,20,34,"CEAS"
100,-0.238070965404087,0.0345454968231589,-0.524726868784045,22,20,32,"CEAS"
110,0.152182376771525,0.504656177550999,-0.249295586093345,22,20,32,"CEAS"
120,0.121331707991262,0.482919301648549,-0.239287676142139,23,20,32,"CEAS"
130,-0.00606068016565503,0.331602824274659,-0.402702408288366,23,20,34,"CEAS"
140,-0.0147985020627496,0.295112143584704,-0.379902410066233,28,20,34,"CEAS"
150,0.0922386178389291,0.443595810726952,-0.296098341099718,23,20,32,"CEAS"
160,0.128649697112436,0.532735320981805,-0.313903358061181,20,20,29,"CEAS"
170,0.45543905870454,0.85368707151744,0.0226109202050406,19,20,30,"CEAS"
180,-0.042164933746035,0.39333501243832,-0.472509625464816,25,20,32,"CEAS"
190,-0.0446707701633082,0.399152761614961,-0.488133260652121,25,20,36,"CEAS"
200,0.102080742677151,0.457166528659219,-0.252536180294316,24,20,37,"CEAS"
